Fold_1_FPR,Fold_1_TPR,Fold_2_FPR,Fold_2_TPR,Fold_3_FPR,Fold_3_TPR,Fold_4_FPR,Fold_4_TPR,Fold_5_FPR,Fold_5_TPR,Fold_6_FPR,Fold_6_TPR,Fold_7_FPR,Fold_7_TPR,Fold_8_FPR,Fold_8_TPR,Fold_9_FPR,Fold_9_TPR,Fold_10_FPR,Fold_10_TPR,Average_FPR,Average_TPR
0.0,0.15191440848899412,0.0,0.10639656230816452,0.0,0.059672016136104525,0.0,0.16047355958958168,0.0,0.15855827413838464,0.0,0.17391563623607822,0.0,0.14539682539682539,0.0,0.17264228711742524,0.0,0.13020082434447075,0.0,0.13122160834868019,0.0,0.1471347033724801
0.005714285714285714,0.3488590721739893,0.005714285714285714,0.2563255283697273,0.005714285714285714,0.1620801543453477,0.005714285714285714,0.34627729544856617,0.005714285714285714,0.3574883802508112,0.005714285714285714,0.3719793036920109,0.005714285714285714,0.33591160220994476,0.005714285714285714,0.3587897921599579,0.005714285714285714,0.3251951240901517,0.005714285714285714,0.3060808559151101,0.005714285714285714,0.3289413988590959
0.011428571428571429,0.5632973778830133,0.011428571428571429,0.43090765588003155,0.011428571428571429,0.28392177497149873,0.011428571428571429,0.5918758221520652,0.011428571428571429,0.5729123914759273,0.011428571428571429,0.5865614312023152,0.011428571428571429,0.5501078663509602,0.011428571428571429,0.5540997982986933,0.011428571428571429,0.5420819082697536,0.011428571428571429,0.5193370165745856,0.011428571428571429,0.5329376332512279
0.017142857142857144,0.6422695781811805,0.017142857142857144,0.517590107866351,0.017142857142857144,0.36275015346838546,0.017142857142857144,0.6835955450320091,0.017142857142857144,0.6435815136367622,0.017142857142857144,0.6431009383495572,0.017142857142857144,0.6433079014294484,0.017142857142857144,0.5871770586687713,0.017142857142857144,0.6326949048496009,0.017142857142857144,0.6111672366920986,0.017142857142857144,0.6032605491347311
0.022857142857142857,0.690295536262387,0.022857142857142857,0.579219503639393,0.022857142857142857,0.42310620012277467,0.022857142857142857,0.7563202665965096,0.022857142857142857,0.6810628781899499,0.022857142857142857,0.6907006928001403,0.022857142857142857,0.699123037797071,0.022857142857142857,0.6217434008594229,0.022857142857142857,0.6686573708673156,0.022857142857142857,0.664388318863457,0.022857142857142857,0.65158941341185
0.02857142857142857,0.7260826098395159,0.02857142857142857,0.628231167236692,0.02857142857142857,0.47603613084276064,0.02857142857142857,0.7795071472419539,0.02857142857142857,0.7244584758396913,0.02857142857142857,0.7298772252915899,0.02857142857142857,0.7398807331404016,0.02857142857142857,0.6567797947908445,0.02857142857142857,0.6943944575988774,0.02857142857142857,0.6854231342629133,0.02857142857142857,0.6882624164384424
0.03428571428571429,0.7524335701131281,0.03428571428571429,0.6642252038937122,0.03428571428571429,0.5319863193896344,0.03428571428571429,0.8019854424274313,0.03428571428571429,0.7578830132421293,0.03428571428571429,0.7590169253705166,0.03428571428571429,0.7643900727878628,0.03428571428571429,0.6860264842585284,0.03428571428571429,0.7189581689029203,0.03428571428571429,0.7045321406647373,0.03428571428571429,0.719397778579562
0.04,0.7759045865123213,0.04,0.7013557835657283,0.04,0.5872173989301062,0.04,0.8207103393843725,0.04,0.7877839165131981,0.04,0.7766508813470139,0.04,0.7871156713145662,0.04,0.7117249846531615,0.04,0.7443093922651933,0.04,0.7272700166622819,0.04,0.7478074031578246
0.045714285714285714,0.7993300008769622,0.045714285714285714,0.738156625449443,0.045714285714285714,0.6541296150135929,0.045714285714285714,0.836057177935631,0.045714285714285714,0.8014785582741383,0.045714285714285714,0.7886538630185038,0.045714285714285714,0.8059037095501184,0.045714285714285714,0.7320319214241866,0.045714285714285714,0.7667876874506709,0.045714285714285714,0.7583758660001754,0.045714285714285714,0.7731263771159144
0.05142857142857143,0.8197971294103891,0.05142857142857143,0.7780128036481626,0.05142857142857143,0.7187687450670875,0.05142857142857143,0.8523967377006051,0.05142857142857143,0.8143155310006138,0.05142857142857143,0.7973392966763131,0.05142857142857143,0.8197772516004559,0.05142857142857143,0.7573539127130287,0.05142857142857143,0.7909094098044374,0.05142857142857143,0.7882136279926333,0.05142857142857143,0.7964571593876694
0.05714285714285714,0.8319763804846678,0.05714285714285714,0.8055178461808296,0.05714285714285714,0.7675173200035077,0.05714285714285714,0.8688976585109182,0.05714285714285714,0.8286240463036043,0.05714285714285714,0.8055622789324446,0.05714285714285714,0.8366570200824344,0.05714285714285714,0.7721605425472827,0.05714285714285714,0.8088731035692363,0.05714285714285714,0.8140419187932999,0.05714285714285714,0.8146197804956079
0.06285714285714286,0.8403461077494226,0.06285714285714286,0.8291256686836797,0.06285714285714286,0.8028343418398666,0.06285714285714286,0.884309976906662,0.06285714285714286,0.8405849337893536,0.06285714285714286,0.8155017685404425,0.06285714285714286,0.8554064719810575,0.06285714285714286,0.7862305241310765,0.06285714285714286,0.8227571691660089,0.06285714285714286,0.8298710865561694,0.06285714285714286,0.8297712817819314
0.06857142857142857,0.8468718758221521,0.06857142857142857,0.8483100938349556,0.06857142857142857,0.829264813353211,0.06857142857142857,0.8945751118126808,0.06857142857142857,0.852904498816101,0.06857142857142857,0.8242854219649798,0.06857142857142857,0.8728860826098395,0.06857142857142857,0.7931982811540822,0.06857142857142857,0.8368745067087608,0.06857142857142857,0.8404612821187406,0.06857142857142857,0.8445200797306991
